partner_count,partner_growth_percentage,total_partner_growth,total_transactions,total_revenue,transaction_growth_percentage,revenue_growth_percentage,total_transaction_growth,total_revenue_growth,total_commissions,commission_growth_percentage,total_commission_growth,year
127,209.8,209.8,0.0,0.0,0.0,0.0,0.0,0.0,609161.5,551.5,551.5,2020.0
950,648.0,2217.1,2965.0,914715.8,0.0,0.0,0.0,0.0,363506.6,0.0,288.8,2021.0
620,0.0,1412.2,3938.0,1075396.7,32.8,17.6,32.8,17.6,283529.2,0.0,203.2,2022.0
257,0.0,526.8,15117.0,1070397.1,283.9,0.0,409.8,17.0,160469.8,0.0,71.6,2023.0
152,0.0,270.7,15782.0,1131217.4,4.4,5.7,432.3,23.7,24058.1,0.0,-74.3,2024.0
